RTC,millis,DS3231_Temp (°C),SHTC3_Temp (°C),SHTC_RH (%),SCF40_Temp (°C),SCD40_RH (%),SCD40_CO2 (ppm)
2025/5/16 2:41:34,7820,24.00,23.52,41.32,25.20,35.96,707
2025/5/16 2:41:44,18325,24.00,23.54,40.58,24.94,36.75,692
2025/5/16 2:41:55,28830,24.00,23.55,40.16,24.53,37.47,658
2025/5/16 2:42:5,39334,24.00,23.56,40.04,24.34,37.92,645
RTC,millis,DS3231_Temp (°C),SHTC3_Temp (°C),SHTC_RH (%),SCF40_Temp (°C),SCD40_RH (%),SCD40_CO2 (ppm)
2025/5/16 2:48:35,7820,24.25,23.65,39.52,23.90,37.65,491
2025/5/16 2:48:45,18328,24.25,23.63,40.12,23.75,38.29,488
2025/5/16 2:48:56,28830,24.25,23.64,39.88,23.58,38.86,494
2025/5/16 2:49:6,39334,24.50,23.62,39.61,23.43,39.29,489
2025/5/16 2:49:17,49839,24.50,23.62,39.58,23.32,39.56,488
2025/5/16 2:49:27,60344,24.50,23.61,39.60,23.17,40.01,483
2025/5/16 2:49:38,70849,24.50,23.55,39.58,23.07,40.21,475
2025/5/16 2:49:48,81354,24.50,23.55,39.59,23.03,40.39,470
2025/5/16 2:49:59,91858,24.50,23.53,39.57,23.01,40.43,458
2025/5/16 2:50:9,102363,24.50,23.52,39.61,22.99,40.49,451
2025/5/16 2:50:20,112868,24.50,23.49,39.56,22.97,40.57,449
2025/5/16 2:50:30,123373,24.50,23.48,39.51,22.97,40.59,449
2025/5/16 2:50:41,133877,24.50,23.42,39.62,22.95,40.54,445
2025/5/16 2:50:51,144382,24.50,23.44,39.65,22.98,40.58,443
2025/5/16 2:51:2,154887,24.50,23.40,39.65,22.95,40.50,441
2025/5/16 2:51:12,165392,24.25,23.37,39.70,22.96,40.46,441
2025/5/16 2:51:23,175896,24.25,23.30,39.71,22.97,40.49,440
2025/5/16 2:51:33,186401,24.25,23.32,39.69,22.99,40.41,437
2025/5/16 2:51:44,196907,24.25,23.27,39.73,22.97,40.35,438
2025/5/16 2:51:54,207412,24.25,23.26,39.75,22.98,40.30,438
2025/5/16 2:52:5,217915,24.25,23.23,39.84,23.01,40.31,438
2025/5/16 2:52:15,228420,24.25,23.23,39.86,22.98,40.28,439
2025/5/16 2:52:26,238925,24.00,23.25,39.85,22.99,40.17,438
2025/5/16 2:52:36,249431,24.00,23.20,39.79,23.01,40.13,437
2025/5/16 2:52:47,259936,24.00,23.19,39.96,23.03,40.09,437
2025/5/16 2:52:57,270440,24.00,23.18,40.03,23.03,40.04,438
2025/5/16 2:53:8,280944,24.00,23.15,40.04,23.05,40.03,438
2025/5/16 2:53:18,291449,24.00,23.16,40.00,23.07,39.96,438
2025/5/16 2:53:29,301955,24.00,23.14,40.01,23.09,39.94,437
